Risk ID,Risk Description,Project Stage,Project Category,Risk Owner,Mitigating Action,Likelihood (1-10),Impact (1-10),"Risk Priority (low, med, high)"
r1,opening of the moorgate cross rail station is delayed further,Pre Construction,Dependency,Project Manager,"Regular engagement with
Crossrail from now to
2020/2021. This should allow
for alternative
arrangements to be made
should there be a delay in
the delivery of Crossrail.",6,2,low
r2,the riney highways contract is due to expire in the summer of 2022 any slippage in starting the construction programme may mean we have to consider a new principal contractor for the later stages of delivery,Pre Construction,Contractor,Project Manager,"Discussions to take place
internally should this risk look
more probable on how
work would be transferred
to a new contractor- or not",4,2,low
r3,delays to the four developments surrounding the moorgate crossrail station delay the final delivery phases of the mcsl project,Construction,Dependency,Project Manager,"Regular engagement with
developers from now until
the completion of the developments. This should
allow for alternative arrangements to be made
should there be a delay in
the delivery of the developments and mean
that we find out as early as
possible about any delays.",6,5,med
r4,infrastructure and utilities difficulties at the moorgate junction with london wall and with ropermaker street make it difficult too expensive to design and transform the space as well as enhance safety,Construction,Infrastructure,Infrastructure Manager,"Set expectations at the
earliest stage possible
where it is discovered that
there are major physical
constraints. Work closely
with internal and external
stakeholders to identify
design solutions to bring the
work forward that might not
require such extensive
physical changes",6,8,med
r5,key stakeholder s do not endorse design options,Pre Construction,Stakeholder,Project Manager Environment Lead,"Ensure that Stakeholder
Working Group is suitably",6,5,med
r6,delays changes to dependency projects such as beech street and st paul s gyratory,Construction,Dependency,Project Manager,"Work with internal
stakeholders to minimize
any impacts should
changes arise",6,5,med
r7,breakdown in engagement with key stakeholders such as islington council,Pre Construction,Stakeholder,Project Manager Environment Lead,"Ensure coherent
communications with
stakeholders and ensure
stakeholders are
communicated with at
strategic points throughout
the project. Particularly
proposed boundary
solutions",4,5,low
r8,tfl restructure may mean that no dedicated scheme sponsor resource can be allocated to progress any required tfl approvals,Pre Construction,Stakeholder,Project Manager,"Officers will seek to
establish resources as early
as possible and keep close
contact to understand the
extent of the restructure,
seeking reassurance of
resource if needed.",8,8,high
r9,there is a potential that the proposed scheme could impact negatively on the protected characteristics under the equalities act 2010,Pre Construction,Social,Project Manager Environment Lead,"Meetings with
representative groups will
be conducted regularly to
design out issues of
concern. The EA Team will
be engaged regularly for
design feedback. An EA
plan will be prepared as
part of the project.",2,5,low
r10,requirement to keep the ability for resilience flexibility through the area in traffic terms restricts the options that can be developed,Pre Construction,Design,Infrastructure Manager,"Seek to ensure that an
appropriate level of
resilience is allowed for
when designing Moorgate
junctions at London Wall
and Ropemaker Street.",6,5,med
