Risk ID,Risk Description,Impact,Project Stage,Risk Category,Likelihood (1-10),Impact (1-10),Risk Index,Risk Owner,Mitigation
3,Failure to discharge planning and listed building conditions,,Pre-construction,Planning,3.3333333333333335,1.6666666666666667,2,Project Manager,Design team and contractor to collate initial pack of information for discharge of conditions
4,Planning conditions impact on budget,Increase project budget ,Pre-construction,Planning,6.666666666666667,5,14,Project Manager,Extent of conditions known and to be reviewed and managed
10,Electricity provider works delayed or non-conforming,"Works to provide new supply are
delayed / not in accordance with the
programme to save having to provide a
sub-station.",Construction,Legislation,3.3333333333333335,3.3333333333333335,4,Project Manager,Orders for the electrical services have been placed by CYC direct
11,"Building Control Sign Off delay due to
lack of resources",Revisit design to address concerns of building control,Construction / Commissioning,Legislation,3.3333333333333335,3.3333333333333335,4,Project Manager,Continue liaison with the Building Control Officer
12,Impact of boat companies (City Cruises),Impact delivery/ site servicing strategy.,Construction,Planning,3.3333333333333335,1.6666666666666667,2,Project Manager,Legal agreements are in place
13,Party wall negotiations & construction access,"Objection from neighbours. Potential
delay to programme",Pre-construction,Planning,5,6.666666666666667,10.5,Project Manager,Appoint party wall surveyor and progress discussions with neighbours
14,Failure to secure market interest for restaurant tenant,"Restaurant not achieving appropriate
tenant and long term revenue
projections. Impact on project cost.",Pre-construction / Operation,Procurement,5,8.333333333333334,15,Project Manager,"Early engagement of agent for potential lettings. Sufficient expressions of
interest"
16,Increased construction costs,"Exchange rate on materials. Impact of
international markets following political
decisions.",Construction,Procurement,5,5,9,Project Manager,"Tender prices received and under review - Risk shall remain prominent
where budget costs / provisional sums are included"
18,Sub-contractor insolvency,Impacts Main Contractor,Construction,Procurement,6.666666666666667,5,12,Construction Manager,Contractor financial checks and vetting of subcontractors
20,"Surveys required to determine ground
conditions/ contamination","Possible need to re-visit design / deal
with contamination on site. ",Pre-construction,Surveys,1.6666666666666667,8.333333333333334,3,Lead Engineer,"GI survey undertaken, information
obtained. Contamination results
received. - Desk study provided by Arup"
21,Identification of active movement,"Proven to be active, remediation
impacts cost ",Pre-construction,Surveys,1.6666666666666667,8.333333333333334,5,Structural Engineer,Ongoing monitoring by ARUP and monitoring specification included within contract documents
22,Unidentified archaeology,Further evaluation required. Cost impact,Pre-construction,Surveys,3.3333333333333335,3.3333333333333335,4,Environment Lead,Evaluation of site undertaken
23,Additional surveys required,Cost impact,Pre-construction,Surveys,1.6666666666666667,1.6666666666666667,1,Project Manager,Undertake outstanding surveys
