Date Added,Risk ID,Risk Description,Project Stage,Risk Category,Likelihood (1-10),Impact (1-10),"Risk Priority (low, med, high)",Risk Owner,Mitigating Action
,r1,opening of the moorgate cross rail station is delayed further,,,possible,minor,low,,regular engagement with crossrail from now to 2020 2021 this should allow for alternative arrangements to be made should there be a delay in the delivery of crossrail
,r2,the riney highways contract is due to expire in the summer of 2022 any slippage in starting the construction programme may mean we have to consider a new principal contractor for the later stages of delivery,,,unlikely,minor,low,,discussions to take place internally should this risk look more probable on how work would be transferred to a new contractor or not
,r3,delays to the four developments surrounding the moorgate crossrail station delay the final delivery phases of the mcsl project,,,possible,serious,med,,regular engagement with developers from now until the completion of the developments this should allow for alternative arrangements to be made should there be a delay in the delivery of the developments and mean that we find out as early as possible about any delays
,r4,infrastructure and utilities difficulties at the moorgate junction with london wall and with ropermaker street make it difficult too expensive to design and transform the space as well as enhance safety,,,possible,major,med,,set expectations at the earliest stage possible where it is discovered that there are major physical constraints work closely with internal and external stakeholders to identify design solutions to bring the work forward that might not require such extensive physical changes
,r5,key stakeholder s do not endorse design options,,,possible,serious,med,,ensure that stakeholder working group is suitably
,r6,delays changes to dependency projects such as beech street and st paul s gyratory,,,possible,serious,med,,work with internal stakeholders to minimize any impacts should changes arise
,r7,breakdown in engagement with key stakeholders such as islington council,,,unlikely,serious,low,,ensure coherent communications with stakeholders and ensure stakeholders are communicated with at strategic points throughout the project particularly proposed boundary solutions
,r8,tfl restructure may mean that no dedicated scheme sponsor resource can be allocated to progress any required tfl approvals,,,likely,major,high,,officers will seek to establish resources as early as possible and keep close contact to understand the extent of the restructure seeking reassurance of resource if needed
,r9,there is a potential that the proposed scheme could impact negatively on the protected characteristics under the equalities act 2010,,,rare,serious,low,,meetings with representative groups will be conducted regularly to design out issues of concern the ea team will be engaged regularly for design feedback an ea plan will be prepared as part of the project
,r10,requirement to keep the ability for resilience flexibility through the area in traffic terms restricts the options that can be developed,,,possible,serious,med,,seek to ensure that an appropriate level of resilience is allowed for when designing moorgate junctions at london wall and ropemaker street
