Risk ID,Risk Description,Likelihood (1-10),Impact (1-10),"Risk Priority (low, med, high)",Mitigating Action
R1,"Opening of the Moorgate
Cross rail station is delayed
further.",Possible,Minor,Low,"Regular engagement with
Crossrail from now to
2020/2021. This should allow
for alternative
arrangements to be made
should there be a delay in
the delivery of Crossrail."
R2,"The Riney highways contract
is due to expire in the summer
of 2022. Any slippage in
starting the construction
programme may mean we
have to consider a new
Principal Contractor for the
later stages of delivery.",Unlikely,Minor,Low,"Discussions to take place
internally should this risk look
more probable on how
work would be transferred
to a new contractor- or not"
R3,"Delays to the four
developments surrounding
the Moorgate Crossrail station
delay the final delivery
phases of the MCSL project",Possible,Serious,Med,"Regular engagement with
developers from now until
the completion of the developments. This should
allow for alternative arrangements to be made
should there be a delay in
the delivery of the developments and mean
that we find out as early as
possible about any delays."
R4,"Infrastructure and utilities
difficulties at the Moorgate
junction with London Wall
and with Ropermaker Street,
make it difficult/too
expensive to design and
transform the space, as well
as enhance safety.",Possible,Major,Med,"Set expectations at the
earliest stage possible
where it is discovered that
there are major physical
constraints. Work closely
with internal and external
stakeholders to identify
design solutions to bring the
work forward that might not
require such extensive
physical changes"
R5,"Key stakeholder(s) do not
endorse design options",Possible,Serious,Med,"Ensure that Stakeholder
Working Group is suitably"
R6,"Delays/changes to
dependency projects, such
as Beech Street and St. Paul's
Gyratory.",Possible,Serious,Med,"Work with internal
stakeholders to minimize
any impacts should
changes arise"
R7,"Breakdown in engagement
with key stakeholders, such as
Islington Council.",Unlikely,Serious,Low,"Ensure coherent
communications with
stakeholders and ensure
stakeholders are
communicated with at
strategic points throughout
the project. Particularly
proposed boundary
solutions"
R8,"TfL restructure may mean that
no dedicated scheme
sponsor / resource can be
allocated to progress any
required TfL approvals.",Likely,Major,High,"Officers will seek to
establish resources as early
as possible and keep close
contact to understand the
extent of the restructure,
seeking reassurance of
resource if needed."
R9,"There is a potential that the
proposed scheme could
impact negatively on the
protected characteristics
under the Equalities Act, 2010.",Rare,Serious,Low,"Meetings with
representative groups will
be conducted regularly to
design out issues of
concern. The EA Team will
be engaged regularly for
design feedback. An EA
plan will be prepared as
part of the project."
R10,"Requirement to keep the
ability for resilience/flexibility
through the area in traffic
terms, restricts the options
that can be developed.",Possible,Serious,Med,"Seek to ensure that an
appropriate level of
resilience is allowed for
when designing Moorgate
junctions at London Wall
and Ropemaker Street."
