Budget Period,Revision Date,RBS Level 1,RBS Level 2,Risk Name,TRL,TPL,Technology Life Phase,Risk Owner,Baseline +/-,Baseline TYP,Baseline SEV,Baseline FRQ,Baseline RPN,Baseline Description,Response Strategy,Response Description,Response Timing,Residual SEV,Residual FRQ,Residual RPN,Residual Description,Secondary Risks,Recommendations & Action Items,Contingency Plan
Budget Period 1,2017-02-21,External,4.6 Regulatory, task 2.2 Smolt probability of encounter model - data sharing,7.0,7.0,,N. Johnson (environmental),-,E,2.0,4.0,8.0,Data sharing from BBSRI at risk,mitigate,facilitate conversations with Umaine on data sharing ,now,1.0,3.0,3.0,If data is not shared move on to next step of conceptual monitoring plan development,,N. Johnson to continue to faciliate conversations between LGL BBSRI and Umaine re: data sharing,continue environmental monitoring plan development without probability of encounter model
Budget Period 1,2017-02-21,External,4.9 External stakeholder,Task 5 Ice data collected,7.0,7.0,,J. Kasper (UAA lead),-,E,3.0,3.0,,Ice data collection unsuccessful,mitigate,real time data collection implemented,now,2.0,1.0,2.0,If real time data collection is not successful equipment retrieved and redeployed in May 2017,Increased complexity,"UAF to take lead on techical side, M. Worthington to continue to manage this effort","Redesign Ice study equipment for oper water testing, evaluate needs for ice data for component validation"
Budget Period 2,2017-02-21,External,4.6 Regulatory,Permitting/Licensing complete for in water testing,7.0,7.0,Multiple (or all) life phases,N. Johnson (environmental),-,R,4.0,4.0,16.0,Appropriate permits and licenses procured in time for open water testing,avoid,FERC Final license application submittal scheudled for 12/17,now,4.0,3.0,12.0,FERC License not granted in time,Schedule Slip budget creep,"Initiate communication with Regulatory agencies and FERC to scope FERC License.  Resource appropriatley for completion by 12/17, respond to Additional Information Requests promptly  after submission",Consider operating under Verdant Exemption for first year of operation
Budget Period 2,2017-02-21,Technical,1.5 Technology,Generator Final Design ,7.0,7.0,Design,R. Tyler (lead engineer),-,P,3.0,4.0,12.0,Wet Gap Generator design not yet complete,mitigate,Design reviews and component validation testing,before design finalized,3.0,2.0,,manufactured product is stil out of specificaiton,increased cost schedule slip,Work closeley with Generator vendor to develop clear specification and ensure genertor design meets this specification,Refurbish and reuse exisitng Generator
Budget Period 2,2017-02-21,Commercial,3.3 Suppliers and vendors,Generator Procurement,7.0,7.0,Assembly and commissioning,R. Tyler (lead engineer),-,T,3.0,4.0,12.0,Timing of generator procurement from IKM could be tight for schedule,avoid,Ensure Generator delivery by 2/2018 to allow adequate time for testing using project development plan with regular status reports,before manufacturing,3.0,3.0,9.0,Generator has manufacturing or integration issues that need resolution in limited time frame,increased effort and cost ,Continue Communication with IKM and ORPC Ireland to ensure timely procurement,Refurbish and reuse exisitng Generator
Budget Period 2,2017-02-21,Commercial,3.3 Suppliers and vendors,Buoyancy System Procurement,7.0,7.0,Multiple (or all) life phases,R. Tyler (lead engineer),-,T,2.0,2.0,4.0, components are not available,avoid,Compile BOM and ascertain component lead times from vendors in advance of PO issue,before PO issued,3.0,1.0,3.0,Unexepcted component shortage,,USE COTS components,delay buoyancy system validation tests
Budget Period 2,2017-02-21,Commercial,3.3 Suppliers and vendors,Structural Assembly Procurement,7.0,7.0,Multiple (or all) life phases,R. Tyler (lead engineer),-,T,3.0,3.0,9.0,Fabricated components have significant lead times,mitigate,"Frequent vendor communication , issue PO with room for schedule creep, Rapid change order resolution, contractual penalties for schedule slip",before PO issued,3.0,2.0,6.0,Unexpected fabrication delays,Increased cost and effort,"Freqent vendor communications, contract includes penalties for late delivery",Delay full system validation  tests
Budget Period 2,2017-02-21,Commercial,3.3 Suppliers and vendors,Turbine Procuement,7.0,7.0,Multiple (or all) life phases,R. Tyler (lead engineer),-,T,3.0,4.0,12.0,Fabricated components have significant lead times,mitigate,"Frequent vendor communication , issue PO with room for schedule creep, Rapid change order resolution, contractual penalties for schedule slip",before PO issued,3.0,2.0,6.0,Unexpected fabrication delays,Increased cost and effort,"Freqent vendor communications, contract includes penalties for late delivery",Delay full system validation  tests
Budget Period 2,2017-02-21,Commercial,3.3 Suppliers and vendors,Power Electronics Procurement,7.0,7.0,Multiple (or all) life phases,M. Worthington (Project Management),-,T,3.0,4.0,12.0,Singel source vendor for some components that require design completion and fabrication,mitigate,"Frequent vendor communication , issue PO with room for schedule creep, Rapid change order resolution, contractual penalties for schedule slip",now,3.0,3.0,9.0,Unexpected design/fabrication FAT delays,Increased cost and effort,"Freqent vendor communications, contract includes penalties for late delivery",Delay laboratory validation
Budget Period 2,2017-02-21,Commercial,3.3 Suppliers and vendors,SCADA Procurement,7.0,7.0,Multiple (or all) life phases,R. Tyler (lead engineer),-,T,3.0,4.0,12.0," components are not available, integration of components and software is delayed",avoid,Compile BOM and ascertain component lead times from vendors in advance of PO issue,before PO issued,3.0,3.0,9.0,"Unexepcted component shortage, personel shortage for SCADA development",,"USE COTS components, Start ACADA development early",delay SCADA system validation tests
