Date Added,Risk ID,Risk Description,Project Stage,Project Category,Likelihood (1-10),Impact (1-10),"Risk Priority (low, med, high)",Risk Owner,Mitigating Action,Result
,3,Failure to discharge planning and listed building conditions,Pre Construction,Design,3.333333333333333,1.6666666666666667,Low,Project Manager,,Design team and contractor to collate initial pack of information for discharge of conditions
,4,Planning conditions impact on budget,Pre Construction,Planning,6.666666666666667,5.0,Med,Project Manager,Increase project budget ,Extent of conditions known and to be reviewed and managed
,10,Electricity provider works delayed or non-conforming,Construction,Design,3.333333333333333,3.333333333333333,Low,Project Manager,"Works to provide new supply are
delayed / not in accordance with the
programme to save having to provide a
sub-station.",Orders for the electrical services have been placed by CYC direct
,11,"Building Control Sign Off delay due to
lack of resources",Construction,Design,3.333333333333333,3.333333333333333,Low,Project Manager,Revisit design to address concerns of building control,Continue liaison with the Building Control Officer
,12,Impact of boat companies (City Cruises),Pre Construction,Design,3.333333333333333,1.6666666666666667,Low,Project Manager,Impact delivery/ site servicing strategy.,Legal agreements are in place
,13,Party wall negotiations & construction access,Pre Construction,Construction,5.0,6.666666666666667,Med,Project Manager,"Objection from neighbours. Potential
delay to programme",Appoint party wall surveyor and progress discussions with neighbours
,14,Failure to secure market interest for restaurant tenant,Pre Construction,Procurement,5.0,8.333333333333334,Med,Project Manager,"Restaurant not achieving appropriate
tenant and long term revenue
projections. Impact on project cost.","Early engagement of agent for potential lettings. Sufficient expressions of
interest"
,16,Increased construction costs,Construction,Construction,5.0,5.0,Med,Project Manager,"Exchange rate on materials. Impact of
international markets following political
decisions.","Tender prices received and under review - Risk shall remain prominent
where budget costs / provisional sums are included"
,18,Sub-contractor insolvency,Pre Construction,Procurement,6.666666666666667,5.0,Med,Construction Manager,Impacts Main Contractor,Contractor financial checks and vetting of subcontractors
,20,"Surveys required to determine ground
conditions/ contamination",Pre Construction,Pre-construction,1.6666666666666667,8.333333333333334,Low,Lead Engineer,"Possible need to re-visit design / deal
with contamination on site. ","GI survey undertaken, information
obtained. Contamination results
received. - Desk study provided by Arup"
,21,Identification of active movement,Construction,Structural,1.6666666666666667,8.333333333333334,Low,Structural Engineer,"Proven to be active, remediation
impacts cost ",Ongoing monitoring by ARUP and monitoring specification included within contract documents
,22,Unidentified archaeology,Pre Construction,Design,3.333333333333333,3.333333333333333,Low,Environment Lead,Further evaluation required. Cost impact,Evaluation of site undertaken
,23,Additional surveys required,Pre Construction,Pre-construction,1.6666666666666667,1.6666666666666667,Low,Project Manager,Cost impact,Undertake outstanding surveys
,26,Unrealistic programme submitted by contractor,Pre Construction,Procurement,1.6666666666666667,5.0,Low,Project Manager,-,Market tested
,27,"Programme delays; due to flood levels
impacting construction",Construction,Structural,10.0,8.333333333333334,High,Project Manager / Environment Lead,"Works stop, cost and programme implications",Review historic flood data and issue to Contractor. Contingency plan to be developed
,29,Delay to design programme,Pre Construction,Design,5.0,5.0,Med,Design Manager,"Client/ Contractor impact cost/
programme",Implementation of IRS schedules design deliverables and clear responsibility for design
,31,"Underpinning, piling and crack repairs
to be considered",Construction,Design,5.0,8.333333333333334,Med,Structural Engineer,"May resolve existing cracks and
movement of the tower but other cracks
may appear elsewhere that will require
repairing.","Detailed dilapidations surveys, crack monitors"
,32,Discovering structural unknowns,Pre Construction,Structural,8.333333333333334,6.666666666666667,High,Structural Engineer,"Costs of additional surveys and
remediation works. ",Undertake surveys early to determine unknowns. Allow suitable contingency for remediation. Biggest concerns being the tower underpinning and South Range
,35,Undetected services not identified on surveys and drawings,Pre Construction,Design,3.333333333333333,5.0,Low,Lead Engineer,"Programme/ re-design/ cost impact to
address unknown ",Utilities surveys maps obtained and plotted on SGA drawings. Careful excavation / groundworks when on site
,40,River source heat pump license approval by the Environment Agency; Refused,Pre Construction,Planning,1.6666666666666667,6.666666666666667,Low,Environment Lead,Delay in no approval from EA,Provisional consent obtained; continued dialogue required
