Date Added,Risk ID,Risk Description,Project Stage,Project Category,Risk Owner,Likelihood (1-10) (pre-mitigation),Impact (1-10) (pre-mitigation),Risk Priority (pre-mitigation),Mitigating Action,Likelihood (1-10) (post-mitigation),Impact (1-10) (post-mitigation),Risk Priority (post-mitigation)
21-Feb-17,1,Data sharing from BBSRI at risk,Pre Construction,Technology Development,Environmental,4.0,2.0,Low,facilitate conversations with Umaine on data sharing ,3.0,1.0,Low
21-Feb-17,2,Ice data collection unsuccessful,Construction Commissioning,Technology Development,Uaa Lead,3.0,3.0,Low,real time data collection implemented,1.0,2.0,Low
21-Feb-17,3,Appropriate permits and licenses procured in time for open water testing,Construction Commissioning,Planning,Environmental,4.0,4.0,Low,FERC Final license application submittal scheudled for 12/17,3.0,4.0,Low
21-Feb-17,4,Wet Gap Generator design not yet complete,Construction,Technology Development,Lead Engineer,4.0,3.0,Low,Design reviews and component validation testing,2.0,3.0,Low
21-Feb-17,5,Timing of generator procurement from IKM could be tight for schedule,Construction,Procurement,Lead Engineer,4.0,3.0,Low,Ensure Generator delivery by 2/2018 to allow adequate time for testing using project development plan with regular status reports,3.0,3.0,Low
21-Feb-17,6, components are not available,Construction,Procurement,Lead Engineer,2.0,2.0,Low,Compile BOM and ascertain component lead times from vendors in advance of PO issue,1.0,3.0,Low
21-Feb-17,7,Fabricated components have significant lead times,Construction,Procurement,Lead Engineer,3.0,3.0,Low,"Frequent vendor communication , issue PO with room for schedule creep, Rapid change order resolution, contractual penalties for schedule slip",2.0,3.0,Low
21-Feb-17,8,Fabricated components have significant lead times,Construction,Procurement,Lead Engineer,4.0,3.0,Low,"Frequent vendor communication , issue PO with room for schedule creep, Rapid change order resolution, contractual penalties for schedule slip",2.0,3.0,Low
21-Feb-17,9,Singel source vendor for some components that require design completion and fabrication,Construction,Procurement,Project Management,4.0,3.0,Low,"Frequent vendor communication , issue PO with room for schedule creep, Rapid change order resolution, contractual penalties for schedule slip",3.0,3.0,Low
21-Feb-17,10," components are not available, integration of components and software is delayed",Construction,Technology Development,Lead Engineer,4.0,3.0,Low,Compile BOM and ascertain component lead times from vendors in advance of PO issue,3.0,3.0,Low
21-Feb-17,11,Fabrication delays and out of spec delivered product,Construction,Procurement,Project Management,4.0,3.0,Low,Compile BOM and ascertain component lead times from vendors in advance of PO issue,3.0,3.0,Low
21-Feb-17,12, components are not available,Construction,Procurement,Lead Engineer,3.0,3.0,Low,Compile BOM and ascertain component lead times from vendors in advance of PO issue,1.0,3.0,Low
21-Feb-17,13,Custom components require fabrication lead time,Construction,Procurement,Lead Engineer,4.0,3.0,Low,"Frequent vendor communication , issue PO with room for schedule creep, Rapid change order resolution, contractual penalties for schedule slip or incorrect product delivery",2.0,3.0,Low
21-Feb-17,14,Custom components require fabrication lead time,Construction,Procurement,Lead Engineer,4.0,3.0,Low,"Frequent vendor communication , issue PO with room for schedule creep, Rapid change order resolution, contractual penalties for schedule slip or incorrect product delivery",2.0,3.0,Low
21-Feb-17,15,Custom components require fabrication lead time,Construction,Procurement,Lead Engineer,4.0,3.0,Low,"Frequent vendor communication , issue PO with room for schedule creep, Rapid change order resolution, contractual penalties for schedule slip or incorrect product delivery",2.0,3.0,Low
21-Feb-17,16,Buoyancy System fails some or all of validation tests,Construction Commissioning,Technology Development,Lead Engineer,3.0,4.0,Low,"Utilizing Incremetnal improvements to a proven concept, add redundancy to design Perform land based tests in May 2017 and move on to on water validation tests prior to shipment to Igiugig",2.0,3.0,Low
21-Feb-17,17,Sturctural Assembly  fails some or all of validation tests,Construction Commissioning,Technology Development,Lead Engineer,3.0,4.0,Low,FEA analysis of structure include load factors following DNV standards and considers extreme loading conditions such as uneven bottom and detalied CAD models for subsystem interfaces vlaidation tests to ensure strucutral integrityu meets specs incorporate structural redundancy,2.0,3.0,Low
21-Feb-17,18,Turbine Assembly fails some or all of validation tests,Construction Commissioning,Technology Development,Lead Engineer,3.0,3.0,Low,"Utilize CFD as design tool for performance validation, FEA analysis of turbines include load factors following DNV standards and considers extreme loading conditions, secondary design input from composite manufacturer",2.0,3.0,Low
21-Feb-17,19,Genertor fails some or all of validation tests,Commissioning,Technology Development,Lead Engineer,4.0,3.0,Low,Factory Accpetance testing and laboratory testing of Genertor integrated with Power elecrtornics to ensure compatibility,2.0,3.0,Low
21-Feb-17,20,Power Electronics fails validation,Construction Commissioning,Technology Development,Project Management,4.0,3.0,Low,Factory accpetance tests and sequenced laboratory testing to ensure Power Electronics meets requirements before shipment,3.0,3.0,Low
21-Feb-17,21,SCADA system fails validation,Construction Commissioning,Technology Development,Lead Engineer,4.0,3.0,Low,Factory accpetance tests and sequenced laboratory testing to ensure SCADA  meets requirements before shipment,3.0,3.0,Low
