Date Added,Risk ID,Risk Description,Project Stage,Project Category,Risk Owner,Likelihood (1-10) (pre-mitigation),Impact (1-10) (pre-mitigation),Risk Priority (pre-mitigation),Mitigating Action,Likelihood (1-10) (post-mitigation),Impact (1-10) (post-mitigation),Risk Priority (post-mitigation)
2017 02 21 00 00 00,1.0,data sharing from bbsri at risk,pre construction,planning,environmental,8,4,med,facilitate conversations with umaine on data sharing,6,2,low
2017 02 21 00 00 00,2.0,ice data collection unsuccessful,construction,services,uaa lead,6,6,low,real time data collection implemented,2,4,low
2017 02 21 00 00 00,3.0,appropriate permits and licenses procured in time for open water testing,pre construction,regulations,environmental,8,8,high,ferc final license application submittal scheduled for 12 17,6,8,med
2017 02 21 00 00 00,4.0,wet gap generator design not yet complete,pre construction,design,lead engineer,8,6,med,design reviews and component validation testing,4,6,low
2017 02 21 00 00 00,5.0,timing of generator procurement from ikm could be tight for schedule,construction,procurement,lead engineer,8,6,med,ensure generator delivery by 2 2018 to allow adequate time for testing using project development plan with regular status reports,6,6,med
2017 02 21 00 00 00,6.0,components are not available,construction,procurement,lead engineer,4,4,low,compile bom and ascertain component lead times from vendors in advance of po issue,2,6,low
2017 02 21 00 00 00,7.0,structural assembly fabricated components have significant lead times,construction,procurement,lead engineer,6,6,med,frequent vendor communication issue po with room for schedule creep rapid change order resolution contractual penalties for schedule slip,4,6,med
2017 02 21 00 00 00,8.0,turbine fabricated components have significant lead times,construction,procurement,lead engineer,8,6,med,frequent vendor communication issue po with room for schedule creep rapid change order resolution contractual penalties for schedule slip,4,6,med
2017 02 21 00 00 00,9.0,singel source vendor for some components that require design completion and fabrication,construction,design,project management,8,6,med,frequent vendor communication issue po with room for schedule creep rapid change order resolution contractual penalties for schedule slip,6,6,med
2017 02 21 00 00 00,10.0,scada components are not available integration of components and software is delayed,construction,procurement,lead engineer,8,6,med,compile bom and ascertain component lead times from vendors in advance of po issue,6,6,med
2017 02 21 00 00 00,11.0,power cables fabrication delays and out of spec delivered product,construction,procurement,project management,8,6,med,compile bom and ascertain component lead times from vendors in advance of po issue,6,6,low
2017 02 21 00 00 00,12.0,mooring system components are not available,construction,design,lead engineer,6,6,med,compile bom and ascertain component lead times from vendors in advance of po issue,2,6,low
2017 02 21 00 00 00,13.0,driveline procurement custom components require fabrication lead time,construction,design,lead engineer,8,6,med,frequent vendor communication issue po with room for schedule creep rapid change order resolution contractual penalties for schedule slip or incorrect product delivery,4,6,med
2017 02 21 00 00 00,14.0,mechanical brake custom components require fabrication lead time,construction,design,lead engineer,8,6,med,frequent vendor communication issue po with room for schedule creep rapid change order resolution contractual penalties for schedule slip or incorrect product delivery,4,6,med
2017 02 21 00 00 00,16.0,buoyancy system fails some or all of validation tests,commissioning,design,lead engineer,6,8,med,utilizing incremental improvements to a proven concept add redundancy to design perform land based tests in may 2017 and move on to on water validation tests prior to shipment to igiugig,4,6,med
2017 02 21 00 00 00,17.0,structural assembly fails some or all of validation tests,commissioning,construction,lead engineer,6,8,med,fea analysis of structure include load factors following dnv standards and considers extreme loading conditions such as uneven bottom and detailed cad models for subsystem interfaces validation tests to ensure structural integrity meets specs incorporate structural redundancy,4,6,med
2017 02 21 00 00 00,18.0,turbine assembly fails some or all of validation tests,commissioning,construction,lead engineer,6,6,med,utilize cfd as design tool for performance validation fea analysis of turbines include load factors following dnv standards and considers extreme loading conditions secondary design input from composite manufacturer,4,6,med
2017 02 21 00 00 00,19.0,generator fails some or all of validation tests,commissioning,services,lead engineer,8,6,med,factory acceptance testing and laboratory testing of generator integrated with power electronics to ensure compatibility,4,6,med
2017 02 21 00 00 00,20.0,power electronics fails validation,commissioning,construction,project management,8,6,med,factory acceptance tests and sequenced laboratory testing to ensure power electronics meets requirements before shipment,6,6,med
2017 02 21 00 00 00,21.0,scada system fails validation,commissioning,construction,lead engineer,8,6,med,factory acceptance tests and sequenced laboratory testing to ensure scada meets requirements before shipment,6,6,med
2017 02 21 00 00 00,22.0,power and data cables failure,construction,construction,project management,6,8,med,utilize proven cable technology utilize secondary cable armor in high risk areas utilize redundant conductors for data and fiber optic reduce inspections and associated wear and tear,4,8,med
2017 02 21 00 00 00,23.0,mooring system failure,construction,regulations,lead engineer,6,10,high,design to dnv standards utilize geophysical knowledge and seek industry expertise to specify mooring system components consider most favorable failure modes,4,10,med
2017 02 21 00 00 00,24.0,driveline failure,construction,procurement,lead engineer,8,8,high,through validation testing design system for increased operational tolerances and loads choose components with long service life and minimal maintenance and alignment requirements increase modularity for replacement,6,8,med
2017 02 21 00 00 00,25.0,mechanical brake failure,construction,construction,lead engineer,8,8,high,through validation testing redundant electrical brake rely on third party expertise for design,6,6,med
2017 02 24 00 00 00,26.0,receipt of ferc pilot license or permits are delayed and compromise deployment,operation,construction,environmental,8,10,high,continue regular dialogue with regulatory agencies after final pilot license and other permit applications respond to airs in timely manner,6,10,high
2017 02 24 00 00 00,27.0,component shipment to igiugig is delayed due to schedule slip transportation contractor issues weather or other,operation,construction,lead engineer,6,8,med,track project schedule align component validation and delivery to port of shipment with shipper schedules ship components early if possible arrival on first barge of season june 2018 or second jluy 2018 at latest,4,8,med
2017 02 24 00 00 00,28.0,device assembly difficult or requires modification in igiugig,construction,regulations,lead engineer,6,8,med,device assembly is difficult or requires workaround in igiugig due to component interfaces component damage during shipment or other timing june august 2018,4,8,med
2017 02 24 00 00 00,29.0,power system deployment commissioning encounters unexpected difficulties,commissioning,construction,project management,6,10,high,prior device testing and component testing in nikiski and elsewhere will reduce unexpected issues with deployment or commissioning these validation steps completed by may 2018,4,10,med
2017 02 24 00 00 00,30.0,ice accumulation on or interaction with device causes power disruption reduction or equipment damage,operation,financial,lead engineer,8,10,high,collection of in river ice data for 2 years prior to deployment feeds engineering and io m planning june 2017 june 2018 on device ice monitoring allows for operational state modification if adverse conditions or interactions occur,6,10,high
2017 02 24 00 00 00,31.0,salmon smolt data collection shows adverse reaction or inadequate data collection does not provide regulatory agencies with adequate information to allow operation or testing during salmon smolt outmigration,operation,quality,environmental,8,8,high,develop rigorous fish monitoring plan in budget period 2 consults with state and federal agencies regularly to ensure study plan and instrumentation provides adequate information for decision making operate device only under continuous monitoring during smolt outmigration,6,8,med
2017 02 24 00 00 00,32.0,device removal complicated by technological or environmental factors,decommissioning,decommissioning,project management,6,10,high,buoyancy system includes redundant and isolated retrieval mechanisms pre testing in nikiski to reduce risk of retrieval issues arising,4,10,high
2017 02 24 00 00 00,33.0,higher cost for maintenance and logistical support required for final design and operations plan including training and personnel requirements external equipment and spares,operation,financial,project management,8,8,high,developing system requirements will be critical for determining technical scope for operations and maintenance technical support involve local resources and include 3rd party input to accurately ascertain feasibility of proposed systems for logistical and technical requirements in remote environment develop trained leads during project who will be responsible for operating the systems after the project,4,4,low
