Risk ID,Risk Description,Project Stage,Project Category,Risk Owner,Likelihood No Action (1-5),Impact No Action (1-5),"Risk Priority No Action (low, med, high)",Mitigating Action,Likelihood Current (1-5),Impact Current (1-5),"Risk Priority Current (low, med, high)"
1,legislative changes,Operations,Governance,Governance Officer,5,5,High,Use intelligence to Officers identify impending changes changes and their effects. The Council Register Ensure staff trained electronic and procedures and conducted ensure changed. with GDPR. Use professional The majority networking to identify best held with practice for and Council responding to change. All staff for further We respond to currently government consultations on The Council and each changes to GDPR legislation or policy to influence its development.,5,2,Med
2,brexit,Operations,,Head Of Corporate Services,5,5,High,"Understanding and Government acting on passed intelligence from situation, LGA, CIPFA and hence other local The Council government take account sources. they emerge. The Council Identifying policies outcomes that require changing, their negotiations: effects and governance as Brexit effects start. The Council workforce workers; ensure The Council awareness information",3,2,Med
3,failure of contractors and suppliers working on the council s behalf,Operations,Governance,Corporate Management Team Lead,4,4,High,Regular monitoring The Leisure of contracts and 2018 performance by for contingency Managers. Potential Ensure that financial contracts have risk contracts registers and Individual mitigation in event contingency of contract failure. is part Service We are such recent We have to manage/monitor Grounds Service All other review ongoing The likelihood reduced established,4,3,Med
4,failure of it systems,Operations,IT,IT Manager,5,5,High,Effective auditing of GDPR systems and data held. An additional been Data backed-up securely off-site. The likelihood increased crime Regular penetration testing. The Council’s been Regular review of business continuity plans Disaster Recovery testing is undertaken at regular intervals,3,4,Med
5,insufficient staff to provide council services insufficient leadership and or management capacity to deliver council priorities,Operations,HR,Chief Executive Officer,5,4,High,"Ensure all services All services have effective requirements Workforce plans ensure incorporated into establishment Service Plans, longer-term which ensure all work is prioritised Effective succession planning. Effective use of project management approaches/ principles when delivering priorities/ strategies",3,2,Med
6,breach of ict security causes loss of service,Operations,IT,IT Manager,5,5,High,Effective auditing of The Council systems and data Security held. helps threats. Data backed-up websites securely off-site. advised Council Regular penetration possible testing. processes made updated The likelihood increased crime,3,4,Med
7,lack of access to council premises prevents services being delivered,Operations,Emergency Planning,Emergency Planning Officer,5,5,High,Regularly test Emergency Emergency Plan testing Test service Plans Business Continuity emergency Plans month. Improved Ensure key opportunities emergency planning staff attend regular liaison meetings a n d t r a in i n g P ro v i s io n o f ‘drop down’ facilities for staff,3,2,Med
8,funding changes make council unsustainable,Operations,Finance,Head Of Finance,5,5,High,"Using intelligence to We are model and plan for and the future changes and Term risks and move away balance from reliance on Govt reserves. funding to balance our budget. The Fair Retention Regular monitoring of and there current position and the Council’s reporting to Members. Council Workforce planning covers all scenarios. The Council Inclusion in national working groups, Commercialisation modelling and lobbying will enable for funding system after income. RSG ceases. Sharing Council’s Each Efficiency Plan with the opportunities and efficiency Government allows guaranteed multi-year grant settlement raising funding certainty. Shared services and partnership working",3,3,Med
9,the council s ability to cope with a natural disaster,Operations,Emergency Planning,Chief Executive,4,5,High,Regularly test Key senior Emergency Plan briefing Test Service Management Business Continuity test the Plans Recovery Ensure key Management emergency training planning staff Officers attend regular Recovery liaison meetings managers and training Local training Tactical The Council’s Plan have trained available. The Council Leisure The Council to be Council’s by the response,4,4,High
10,major health and safety incident,Operations,,Chief Executive,4,4,High,Ensure health and A thorough safety is standard Council agenda on all team carefully meetings. Programme Ensure equipment training inventory and Flu jabs inspections are up to date. Review Risk Assessments and Action Plans. Capture Port near misses and asses learning points,3,4,Med
