Budget Period,Revision Date,RBS Level 1,RBS Level 2,Risk Name,TRL,TPL,Technology Life Phase,Risk Owner,Baseline TYP,Baseline SEV,Baseline FRQ,Baseline RPN,Baseline Description,Response Strategy,Response Description,Response Timing,Residual SEV,Residual FRQ,Residual RPN,Residual Description,Secondary Risks,Recommendations & Action Items,Contingency Plan,Risk Owner Name
budget period 1,2017 02 21,external,4 6 regulatory,task 2 2 smolt probability of encounter model data sharing,7.0,7.0,,environmental,e,2.0,4.0,8.0,data sharing from bbsri at risk,mitigate,facilitate conversations with umaine on data sharing,now,1.0,3.0,3.0,if data is not shared move on to next step of conceptual monitoring plan development,,n johnson to continue to faciliate conversations between lgl bbsri and umaine re data sharing,continue environmental monitoring plan development without probability of encounter model,n johnson
budget period 1,2017 02 21,external,4 9 external stakeholder,task 5 ice data collected,7.0,7.0,,uaa lead,e,3.0,3.0,,ice data collection unsuccessful,mitigate,real time data collection implemented,now,2.0,1.0,2.0,if real time data collection is not successful equipment retrieved and redeployed in may 2017,increased complexity,uaf to take lead on techical side m worthington to continue to manage this effort,redesign ice study equipment for oper water testing evaluate needs for ice data for component validation,j kasper
budget period 2,2017 02 21,external,4 6 regulatory,permitting licensing complete for in water testing,7.0,7.0,multiple or all life phases,environmental,r,4.0,4.0,16.0,appropriate permits and licenses procured in time for open water testing,avoid,ferc final license application submittal scheudled for 12 17,now,4.0,3.0,12.0,ferc license not granted in time,schedule slip budget creep,initiate communication with regulatory agencies and ferc to scope ferc license resource appropriatley for completion by 12 17 respond to additional information requests promptly after submission,consider operating under verdant exemption for first year of operation,n johnson
budget period 2,2017 02 21,technical,1 5 technology,generator final design,7.0,7.0,design,lead engineer,p,3.0,4.0,12.0,wet gap generator design not yet complete,mitigate,design reviews and component validation testing,before design finalized,3.0,2.0,,manufactured product is stil out of specificaiton,increased cost schedule slip,work closeley with generator vendor to develop clear specification and ensure genertor design meets this specification,refurbish and reuse exisitng generator,r tyler
budget period 2,2017 02 21,commercial,3 3 suppliers and vendors,generator procurement,7.0,7.0,assembly and commissioning,lead engineer,t,3.0,4.0,12.0,timing of generator procurement from ikm could be tight for schedule,avoid,ensure generator delivery by 2 2018 to allow adequate time for testing using project development plan with regular status reports,before manufacturing,3.0,3.0,9.0,generator has manufacturing or integration issues that need resolution in limited time frame,increased effort and cost,continue communication with ikm and orpc ireland to ensure timely procurement,refurbish and reuse exisitng generator,r tyler
budget period 2,2017 02 21,commercial,3 3 suppliers and vendors,buoyancy system procurement,7.0,7.0,multiple or all life phases,lead engineer,t,2.0,2.0,4.0,components are not available,avoid,compile bom and ascertain component lead times from vendors in advance of po issue,before po issued,3.0,1.0,3.0,unexepcted component shortage,,use cots components,delay buoyancy system validation tests,r tyler
budget period 2,2017 02 21,commercial,3 3 suppliers and vendors,structural assembly procurement,7.0,7.0,multiple or all life phases,lead engineer,t,3.0,3.0,9.0,fabricated components have significant lead times,mitigate,frequent vendor communication issue po with room for schedule creep rapid change order resolution contractual penalties for schedule slip,before po issued,3.0,2.0,6.0,unexpected fabrication delays,increased cost and effort,freqent vendor communications contract includes penalties for late delivery,delay full system validation tests,r tyler
budget period 2,2017 02 21,commercial,3 3 suppliers and vendors,turbine procuement,7.0,7.0,multiple or all life phases,lead engineer,t,3.0,4.0,12.0,fabricated components have significant lead times,mitigate,frequent vendor communication issue po with room for schedule creep rapid change order resolution contractual penalties for schedule slip,before po issued,3.0,2.0,6.0,unexpected fabrication delays,increased cost and effort,freqent vendor communications contract includes penalties for late delivery,delay full system validation tests,r tyler
budget period 2,2017 02 21,commercial,3 3 suppliers and vendors,power electronics procurement,7.0,7.0,multiple or all life phases,project management,t,3.0,4.0,12.0,singel source vendor for some components that require design completion and fabrication,mitigate,frequent vendor communication issue po with room for schedule creep rapid change order resolution contractual penalties for schedule slip,now,3.0,3.0,9.0,unexpected design fabrication fat delays,increased cost and effort,freqent vendor communications contract includes penalties for late delivery,delay laboratory validation,m worthington
budget period 2,2017 02 21,commercial,3 3 suppliers and vendors,scada procurement,7.0,7.0,multiple or all life phases,lead engineer,t,3.0,4.0,12.0,components are not available integration of components and software is delayed,avoid,compile bom and ascertain component lead times from vendors in advance of po issue,before po issued,3.0,3.0,9.0,unexepcted component shortage personel shortage for scada development,,use cots components start acada development early,delay scada system validation tests,r tyler
