Date Added,Risk ID,Risk Description,Project Stage,Project Category,Risk Owner,Likelihood (1-10) (pre-mitigation),Impact (1-10) (pre-mitigation),Risk Priority (pre-mitigation),Mitigating Action,Likelihood (1-10) (post-mitigation),Impact (1-10) (post-mitigation),Risk Priority (post-mitigation)
A,,N,G,,H,L,K,M,P,L,K,M
2017-02-21 00:00:00,1.0,Data sharing from BBSRI at risk,Pre-construction,Planning,Environmental,8,4,Med,facilitate conversations with Umaine on data sharing,6,2,Low
2017-02-21 00:00:00,2.0,Ice data collection unsuccessful,Construction,Services,UAA lead,6,6,Low,real time data collection implemented,2,4,Low
2017-02-21 00:00:00,3.0,Appropriate permits and licenses procured in time for open water testing,Pre-construction,Regulations,Environmental,8,8,High, FERC Final license application submittal scheduled for 12/17 ,6,8,Med
2017-02-21 00:00:00,4.0,Wet Gap Generator design not yet complete,Pre-construction,Design,Lead engineer,8,6,Med,Design reviews and component validation testing,4,6,Low
2017-02-21 00:00:00,5.0,Timing of generator procurement from IKM could be tight for schedule,Construction,Procurement,Lead engineer,8,6,Med,Ensure Generator delivery by 2/2018 to allow adequate time for testing using project development plan with regular status reports,6,6,Med
2017-02-21 00:00:00,6.0,Components are not available,Construction,Procurement,Lead engineer,4,4,Low,Compile BOM and ascertain component lead times from vendors in advance of PO issue,2,6,Low
2017-02-21 00:00:00,7.0,Structural Assembly: fabricated components have significant lead times,Construction,Procurement,Lead engineer,6,6,Med,"Frequent vendor communication , issue PO with room for schedule creep, Rapid change order resolution, contractual penalties for schedule slip",4,6,Med
2017-02-21 00:00:00,8.0,Turbine: fabricated components have significant lead times,Construction,Procurement,Lead engineer,8,6,Med,"Frequent vendor communication , issue PO with room for schedule creep, Rapid change order resolution, contractual penalties for schedule slip",4,6,Med
2017-02-21 00:00:00,9.0,Singel source vendor for some components that require design completion and fabrication,Construction,Design,Project Management,8,6,Med,"Frequent vendor communication , issue PO with room for schedule creep, Rapid change order resolution, contractual penalties for schedule slip",6,6,Med
2017-02-21 00:00:00,10.0,"SCADA components are not available, integration of components and software is delayed",Construction,Procurement,Lead engineer,8,6,Med,Compile BOM and ascertain component lead times from vendors in advance of PO issue,6,6,Med
2017-02-21 00:00:00,11.0,Power Cables: fabrication delays and out of spec delivered product,Construction,Procurement,Project Management,8,6,Med,Compile BOM and ascertain component lead times from vendors in advance of PO issue,6,6,Low
2017-02-21 00:00:00,12.0,Mooring System: components are not available,Construction,Design,Lead engineer,6,6,Med,Compile BOM and ascertain component lead times from vendors in advance of PO issue,2,6,Low
2017-02-21 00:00:00,13.0,Driveline procurement: custom components require fabrication lead time,Construction,Design,Lead engineer,8,6,Med,"Frequent vendor communication , issue PO with room for schedule creep, Rapid change order resolution, contractual penalties for schedule slip or incorrect product delivery",4,6,Med
2017-02-21 00:00:00,14.0,Mechanical brake: custom components require fabrication lead time,Construction,Design,Lead engineer,8,6,Med,"Frequent vendor communication , issue PO with room for schedule creep, Rapid change order resolution, contractual penalties for schedule slip or incorrect product delivery",4,6,Med
2017-02-21 00:00:00,16.0,Buoyancy System fails some or all of validation tests,Commissioning,Design,Lead engineer,6,8,Med,"Utilizing Incremental improvements to a proven concept, add redundancy to design Perform land based tests in May 2017 and move on to on water validation tests prior to shipment to Igiugig",4,6,Med
2017-02-21 00:00:00,17.0,Structural Assembly fails some or all of validation tests,Commissioning,Construction,Lead engineer,6,8,Med,FEA analysis of structure include load factors following DNV standards and considers extreme loading conditions such as uneven bottom and detailed CAD models for subsystem interfaces validation tests to ensure structural integrity meets specs incorporate structural redundancy,4,6,Med
2017-02-21 00:00:00,18.0,Turbine Assembly fails some or all of validation tests,Commissioning,Construction,Lead engineer,6,6,Med,"Utilize CFD as design tool for performance validation, FEA analysis of turbines include load factors following DNV standards and considers extreme loading conditions, secondary design input from composite manufacturer",4,6,Med
2017-02-21 00:00:00,19.0,Generator fails some or all of validation tests,Commissioning,Services,Lead engineer,8,6,Med,Factory Acceptance testing and laboratory testing of Generator integrated with Power electronics to ensure compatibility,4,6,Med
2017-02-21 00:00:00,20.0,Power Electronics fails validation,Commissioning,Construction,Project Management,8,6,Med,Factory acceptance tests and sequenced laboratory testing to ensure Power Electronics meets requirements before shipment,6,6,Med
2017-02-21 00:00:00,21.0,SCADA system fails validation,Commissioning,Construction,Lead engineer,8,6,Med,Factory acceptance tests and sequenced laboratory testing to ensure SCADA meets requirements before shipment,6,6,Med
2017-02-21 00:00:00,22.0,Power and data cables failure,Construction,Construction,Project Management,6,8,Med,"Utilize proven cable technology utilize secondary cable armor in high risk areas utilize redundant conductors for data and fiber optic, reduce inspections and associated wear and tear",4,8,Med
2017-02-21 00:00:00,23.0,Mooring system failure,Construction,Regulations,Lead engineer,6,10,High,"Design to DNV standards, utilize geophysical knowledge and seek industry expertise to specify mooring system components, consider most favorable failure modes",4,10,Med
2017-02-21 00:00:00,24.0,Driveline failure,Construction,Procurement,Lead engineer,8,8,High,"Through validation testing, design system for increased operational tolerances and loads, choose components with long service life and minimal maintenance and alignment requirements increase modularity for replacement",6,8,Med
2017-02-21 00:00:00,25.0,Mechanical Brake Failure,Construction,Construction,Lead engineer,8,8,High,"Through validation testing, redundant electrical brake, Rely on third party expertise for design",6,6,Med
2017-02-24 00:00:00,26.0,Receipt of FERC Pilot license or permits are delayed and compromise deployment,Operation,Construction,Environmental,8,10,High,"Continue regular dialogue with regulatory agencies after final pilot license and other permit applications, respond to AIRs in timely manner",6,10,High
